frame: 0, time: 0, x: 0
frame: 427, time: 7.11667, x: 0.740276
frame: 428, time: 7.13333, x: 0.751378
frame: 429, time: 7.15, x: 0.762271
frame: 430, time: 7.16667, x: 0.772952
frame: 431, time: 7.18333, x: 0.783419
frame: 432, time: 7.2, x: 0.793668
frame: 433, time: 7.21667, x: 0.803696
frame: 434, time: 7.23333, x: 0.813502
frame: 435, time: 7.25, x: 0.823081
frame: 436, time: 7.26667, x: 0.832432
frame: 437, time: 7.28333, x: 0.841551
frame: 438, time: 7.3, x: 0.850437
frame: 439, time: 7.31667, x: 0.859086
frame: 440, time: 7.33333, x: 0.867497
frame: 441, time: 7.35, x: 0.875667
frame: 442, time: 7.36667, x: 0.883593
frame: 443, time: 7.38333, x: 0.891274
frame: 444, time: 7.4, x: 0.898708
frame: 445, time: 7.41667, x: 0.905892
frame: 446, time: 7.43333, x: 0.912824
frame: 447, time: 7.45, x: 0.919503
frame: 448, time: 7.46667, x: 0.925927
frame: 449, time: 7.48333, x: 0.932093
frame: 450, time: 7.5, x: 0.938
frame: 451, time: 7.51667, x: 0.943647
frame: 452, time: 7.53333, x: 0.949031
frame: 453, time: 7.55, x: 0.954152
frame: 454, time: 7.56667, x: 0.959008
frame: 455, time: 7.58333, x: 0.963598
frame: 456, time: 7.6, x: 0.96792
frame: 457, time: 7.61667, x: 0.971973
frame: 458, time: 7.63333, x: 0.975756
frame: 459, time: 7.65, x: 0.979268
frame: 460, time: 7.66667, x: 0.982508
frame: 461, time: 7.68333, x: 0.985475
frame: 462, time: 7.7, x: 0.988168
frame: 463, time: 7.71667, x: 0.990587
frame: 464, time: 7.73333, x: 0.992731
frame: 465, time: 7.75, x: 0.994599
frame: 466, time: 7.76667, x: 0.99619
frame: 467, time: 7.78333, x: 0.997505
frame: 468, time: 7.8, x: 0.998543
frame: 469, time: 7.81667, x: 0.999304
frame: 470, time: 7.83333, x: 0.999787
frame: 471, time: 7.85, x: 0.999992
frame: 472, time: 7.86667, x: 0.99992
frame: 473, time: 7.88333, x: 0.999569
frame: 474, time: 7.9, x: 0.998941
frame: 475, time: 7.91667, x: 0.998036
frame: 476, time: 7.93333, x: 0.996853
frame: 477, time: 7.95, x: 0.995394
frame: 478, time: 7.96667, x: 0.993658
frame: 479, time: 7.98333, x: 0.991646
frame: 480, time: 8, x: 0.989358
frame: 481, time: 8.01667, x: 0.986796
frame: 482, time: 8.03333, x: 0.98396
frame: 483, time: 8.05, x: 0.98085
frame: 484, time: 8.06667, x: 0.977468
frame: 485, time: 8.08333, x: 0.973814
frame: 486, time: 8.1, x: 0.96989
frame: 487, time: 8.11667, x: 0.965696
frame: 488, time: 8.13333, x: 0.961234
frame: 489, time: 8.15, x: 0.956506
frame: 490, time: 8.16667, x: 0.951511
frame: 491, time: 8.18333, x: 0.946252
frame: 492, time: 8.2, x: 0.940731
frame: 493, time: 8.21667, x: 0.934948
frame: 494, time: 8.23333, x: 0.928905
frame: 495, time: 8.25, x: 0.922604
frame: 496, time: 8.26667, x: 0.916047
frame: 497, time: 8.28333, x: 0.909236
frame: 498, time: 8.3, x: 0.902172
frame: 499, time: 8.31667, x: 0.894857
frame: 500, time: 8.33333, x: 0.887294
frame: 501, time: 8.35, x: 0.879484
frame: 502, time: 8.36667, x: 0.871431
frame: 503, time: 8.38333, x: 0.863135
frame: 504, time: 8.4, x: 0.854599
frame: 505, time: 8.41667, x: 0.845826
frame: 506, time: 8.43333, x: 0.836818
frame: 507, time: 8.45, x: 0.827577
frame: 508, time: 8.46667, x: 0.818107
frame: 509, time: 8.48333, x: 0.808409
frame: 510, time: 8.5, x: 0.798487
frame: 511, time: 8.51667, x: 0.788343
frame: 512, time: 8.53333, x: 0.77798
frame: 513, time: 8.55, x: 0.767401
frame: 514, time: 8.56667, x: 0.756609
frame: 515, time: 8.58333, x: 0.745607
frame: 516, time: 8.6, x: 0.734397
frame: 517, time: 8.61667, x: 0.722984
frame: 518, time: 8.63333, x: 0.711369
frame: 519, time: 8.65, x: 0.699557
frame: 520, time: 8.66667, x: 0.687551
frame: 521, time: 8.68333, x: 0.675354
frame: 522, time: 8.7, x: 0.662969
frame: 523, time: 8.71667, x: 0.6504
frame: 524, time: 8.73333, x: 0.637651
frame: 525, time: 8.75, x: 0.624724
frame: 526, time: 8.76667, x: 0.611624
frame: 527, time: 8.78333, x: 0.598354
frame: 528, time: 8.8, x: 0.584917
frame: 529, time: 8.81667, x: 0.571318
frame: 530, time: 8.83333, x: 0.557561
frame: 531, time: 8.85, x: 0.543648
frame: 532, time: 8.86667, x: 0.529585
frame: 533, time: 8.88333, x: 0.515375
frame: 534, time: 8.9, x: 0.501021
frame: 535, time: 8.91667, x: 0.486528
frame: 536, time: 8.93333, x: 0.4719
frame: 537, time: 8.95, x: 0.457141
frame: 538, time: 8.96667, x: 0.442255
frame: 539, time: 8.98333, x: 0.427246
frame: 540, time: 9, x: 0.412118
frame: 541, time: 9.01667, x: 0.396876
frame: 542, time: 9.03333, x: 0.381524
frame: 543, time: 9.05, x: 0.366066
frame: 544, time: 9.06667, x: 0.350506
frame: 545, time: 9.08333, x: 0.334849
frame: 546, time: 9.1, x: 0.319098
frame: 547, time: 9.11667, x: 0.303259
frame: 548, time: 9.13333, x: 0.287336
frame: 549, time: 9.15, x: 0.271333
frame: 550, time: 9.16667, x: 0.255255
frame: 551, time: 9.18333, x: 0.239106
frame: 552, time: 9.2, x: 0.22289
frame: 553, time: 9.21667, x: 0.206612
frame: 554, time: 9.23333, x: 0.190277
frame: 555, time: 9.25, x: 0.173889
frame: 556, time: 9.26667, x: 0.157453
frame: 557, time: 9.28333, x: 0.140973
frame: 558, time: 9.3, x: 0.124454
frame: 559, time: 9.31667, x: 0.107901
frame: 560, time: 9.33333, x: 0.0913172
frame: 561, time: 9.35, x: 0.0747083
frame: 562, time: 9.36667, x: 0.0580786
frame: 563, time: 9.38333, x: 0.0414328
frame: 564, time: 9.4, x: 0.0247754
frame: 565, time: 9.41667, x: 0.00811121
frame: 566, time: 9.43333, x: -0.00855527
frame: 567, time: 9.45, x: -0.0252194
frame: 568, time: 9.46667, x: -0.0418765
frame: 569, time: 9.48333, x: -0.0585219
frame: 570, time: 9.5, x: -0.0751511
frame: 571, time: 9.51667, x: -0.0917594
frame: 572, time: 9.53333, x: -0.108342
frame: 573, time: 9.55, x: -0.124895
